Set,Date,date2,Where,Description,State,Number,Zipcodes,notes,cause
FY 2009,7/24/2009,6/23/2009,"L.B. Thompson Inc., Tampa, FL 33610","Victim was inside a building bundling material and became ill, possible heat stroke.",FL,1,33610,,heat
FY 2009,7/24/2009,6/30/2009,"Presiliana Zamora, Conroe, TX 77304",Victim was on a scaffold doing repairs on an archway and the scaffold collapsed.,TX,1,77304,,fell
FY 2009,7/24/2009,07/06/2009,"Cesar Tapia, Miami, FL 33166","Victim was conducting roofing work, and fell through a hole in the roof, 25 feet to the concrete floor below.",FL,1,33166,,fell
FY 2009,7/24/2009,07/09/2009,"Knobel Refrigeration, Inc., North Platte, NE 69103",Victim was climbing a ladder while servicing an air-conditioning unit and fell from the ladder.,NE,1,69103,,fell
FY 2009,7/24/2009,07/11/2009,"Greensburg, PA 15601","Employees were throwing away old files. They had a dumpster on the forks in the raised position. In bringing the dumpster down on the forks, the load became unstable. Victim stood on the rear of the forklift to act as a counterbalance. The dumpster fell off the trucs, causing forktruck to lunge forward and the victim to strike his head on the overhead guard, falling to the ground.",PA,1,15601,,vehicle
FY 2009,7/24/2009,07/11/2009,"Lighthouse Electric, Boulder, CO 80301",Fatality at a bookstore under construction.,CO,1,80301,,construction
FY 2009,7/24/2009,7/15/2009,"Priority Energy Services, LLC, Raleigh, MS 39153","Victim was pressure testing a new metering station at a new pipeline construction project, when an explosion occurred.",MS,1,39153,,pressure
FY 2009,7/24/2009,7/16/2009,"KM Davis Contracting Co., Inc., Marietta, GA 30008",Victim was standing on the side of the road and was struck by a car.,GA,1,30008,,vehicle
FY 2009,7/24/2009,7/18/2009,"Jenkins Electric, Post, TX 79356","Victim was working on a pole replacing a transformer, 14,400KV, and was electrocuted.",TX,1,79356,,electricity
FY 2009,7/24/2009,7/18/2009,"Lariat Communications, De Kalb, TX 75559",Victim was installing coax cable hangers down the face of an existing tower and fell 60 to 100 feet.,TX,1,75559,,fell
FY 2009,7/24/2009,7/18/2009,"Larry Walty Roofing and Guttering, Inc,, Wichita, KS 67208",Victim was on a roof preparing an estimate. He started to come down from the roof and the ladder became dislodged. Victim fell 12 feet to the concrete driveway.,KS,1,67208,,fell
FY 2009,7/24/2009,7/18/2009,"Newohmer Brothers Feed Lot, Elgin, NE 68636",Victim was herding cattle for the feedlot from a horse. The horse stumbled and fell. Victim subsequently fell.,NE,1,68636,,"fell, animal"
FY 2009,7/24/2009,7/20/2009,"Art Iron Works, Inc., Onconta, AL 35121","Victim was in the process of assembling a transition box, while removing the brace the box collapsed, crushing him.",AL,1,35121,,collapse
FY 2009,7/24/2009,7/21/2009,"Fort Smith Garage Doors, Kibler, AR 72921",Victim was installing an overhead garage door. He was using a truck-mounted generator/welder to generate power for his tools. He was found unresponsive in the bed of the truck. Victim was electrocuted.,AR,1,72921,,electricity
FY 2009,7/24/2009,7/21/2009,"SES Welding, LLC, Holly Bill, FL 32117","Victim was working under a disabled truck, disconnecting the drive shaft. The vehicle fell, crushing him.",FL,1,32117,,collapse
FY 2009,7/24/2009,7/22/2009,"Allens Inc,, Siloam Springs, AR 72761","Victim was repairing a tote at the end of the line. The top tote fell over, crushing the victim.",AR,1,72761,,collapse
FY 2009,7/24/2009,7/22/2009,"Howie's Tree Services, Merrick, NY 11566",Victim was working from the raised bucket of an aerial device. The boom and bucket fell to the ground.,NY,1,11566,,fell
FY 2009,7/24/2009,7/23/2009,"Martin Product Sales, LLC, Beaumont, TX 77705",Victim was on top of a railcar carrying elemental sulfur and was found unresponsive.,TX,1,77705,,suffocate
FY 2009,7/24/2009,7/24/2009,"Green Contractors of NY, Merrick NY 11566",Victim was working from a raised forklift and fell to the ground.,NY,1,11566,,fell
FY 2009,7/31/2009,5/15/2009,"Alvin Wynn Electric Company, Alapaha, GA 31622",Worker was replacing a breaker in a main panel at a saw mill and an arc blast occurred.,GA,1,31622,,explosion
FY 2009,7/31/2009,07/01/2009,"Lakeridge Winery, Clermont, FL 34711",Worker was putting away a piece of lawn equipment and was stung twice by insects.,FL,1,34711,,animal
